MODELS_EMITTER_CONSTRUCTOR_DEBUG: Parsed schemas count: 1959
  SchemaKeyInConstructor: FeedbackUpdate, Name: FeedbackUpdate, Type: object
  SchemaKeyInConstructor: FoundationModelCreate, Name: FoundationModelCreate, Type: object
  SchemaKeyInConstructor: FoundationModelUpdate, Name: FoundationModelUpdate, Type: object
  SchemaKeyInConstructor: JobCreate, Name: JobCreate, Type: object
  SchemaKeyInConstructor: JobUpdate, Name: JobUpdate, Type: object
  SchemaKeyInConstructor: JobExecutionCreate, Name: JobExecutionCreate, Type: object
  SchemaKeyInConstructor: JobExecutionUpdate, Name: JobExecutionUpdate, Type: object
  SchemaKeyInConstructor: MessageCreate, Name: MessageCreate, Type: object
  SchemaKeyInConstructor: MessageUpdate, Name: MessageUpdate, Type: object
  SchemaKeyInConstructor: TenantCreate, Name: TenantCreate, Type: object
  SchemaKeyInConstructor: TenantUpdate, Name: TenantUpdate, Type: object
  SchemaKeyInConstructor: UserCreate, Name: UserCreate, Type: object
  SchemaKeyInConstructor: UserUpdate, Name: UserUpdate, Type: object
  SchemaKeyInConstructor: VectorDatabaseCreate, Name: VectorDatabaseCreate, Type: object
  SchemaKeyInConstructor: VectorDatabaseUpdate, Name: VectorDatabaseUpdate, Type: object
  SchemaKeyInConstructor: VectorIndexCreate, Name: VectorIndexCreate, Type: object
  SchemaKeyInConstructor: VectorIndexUpdate, Name: VectorIndexUpdate, Type: object
  SchemaKeyInConstructor: changePasswordRequestBodyUserId, Name: ChangePasswordRequestBodyUserId, Type: string
  SchemaKeyInConstructor: changePasswordRequestBodyNewPassword, Name: ChangePasswordRequestBodyNewPassword, Type: string
  SchemaKeyInConstructor: changePasswordRequestBody, Name: ChangePasswordRequestBody, Type: object
  SchemaKeyInConstructor: changePassword200ResponseDataMessage, Name: ChangePassword200ResponseDataMessage, Type: string
  SchemaKeyInConstructor: changePassword200ResponseData, Name: ChangePassword200ResponseData, Type: object
  SchemaKeyInConstructor: changePassword200Response, Name: ChangePassword200Response, Type: object
  SchemaKeyInConstructor: changePassword400ResponseError, Name: ChangePassword400ResponseError, Type: string
  SchemaKeyInConstructor: ChangePassword400ResponseDetailsItemField, Name: ChangePassword400ResponseDetailsItemField, Type: string
  SchemaKeyInConstructor: ChangePassword400ResponseDetailsItemMessage, Name: ChangePassword400ResponseDetailsItemMessage, Type: string
  SchemaKeyInConstructor: ChangePassword400ResponseDetailsItem, Name: ChangePassword400ResponseDetailsItem, Type: object
  SchemaKeyInConstructor: changePassword400ResponseDetails, Name: ChangePassword400ResponseDetails, Type: array
  SchemaKeyInConstructor: changePassword400Response, Name: ChangePassword400Response, Type: object
  SchemaKeyInConstructor: changePassword401ResponseError, Name: ChangePassword401ResponseError, Type: string
  SchemaKeyInConstructor: changePassword401Response, Name: ChangePassword401Response, Type: object
  SchemaKeyInConstructor: changePassword403ResponseError, Name: ChangePassword403ResponseError, Type: string
  SchemaKeyInConstructor: changePassword403Response, Name: ChangePassword403Response, Type: object
  SchemaKeyInConstructor: changePassword404ResponseError, Name: ChangePassword404ResponseError, Type: string
  SchemaKeyInConstructor: changePassword404Response, Name: ChangePassword404Response, Type: object
  SchemaKeyInConstructor: changePassword500ResponseError, Name: ChangePassword500ResponseError, Type: string
  SchemaKeyInConstructor: changePassword500Response, Name: ChangePassword500Response, Type: object
  SchemaKeyInConstructor: ChangePasswordRequestBody, Name: ChangePasswordRequestBody, Type: object
  SchemaKeyInConstructor: ChangePassword200Response, Name: ChangePassword200Response, Type: object
  SchemaKeyInConstructor: ChangePassword400Response, Name: ChangePassword400Response, Type: object
  SchemaKeyInConstructor: ChangePassword401Response, Name: ChangePassword401Response, Type: object
  SchemaKeyInConstructor: ChangePassword403Response, Name: ChangePassword403Response, Type: object
  SchemaKeyInConstructor: ChangePassword404Response, Name: ChangePassword404Response, Type: object
  SchemaKeyInConstructor: ChangePassword500Response, Name: ChangePassword500Response, Type: object
  SchemaKeyInConstructor: getEmbedding401ResponseError, Name: GetEmbedding401ResponseError, Type: string
  SchemaKeyInConstructor: getEmbedding401Response, Name: GetEmbedding401Response, Type: object
  SchemaKeyInConstructor: getEmbedding403ResponseError, Name: GetEmbedding403ResponseError, Type: string
  SchemaKeyInConstructor: getEmbedding403Response, Name: GetEmbedding403Response, Type: object
  SchemaKeyInConstructor: getEmbedding404ResponseError, Name: GetEmbedding404ResponseError, Type: string
  SchemaKeyInConstructor: getEmbedding404Response, Name: GetEmbedding404Response, Type: object
  SchemaKeyInConstructor: getEmbedding500ResponseError, Name: GetEmbedding500ResponseError, Type: string
  SchemaKeyInConstructor: getEmbedding500Response, Name: GetEmbedding500Response, Type: object
  SchemaKeyInConstructor: GetEmbedding401Response, Name: GetEmbedding401Response, Type: object
